Name of student: Odin
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: English
Classroom: 609
Teacher: Frej
Grade: 10

Course 2: German
Classroom: 101
Teacher: Frig
Grade: 12

Course 3: Danish
Classroom: 505
Teacher: Njord
Grade: -3



Name of student: Mummi
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: Danish
Classroom: 202
Teacher: Njord
Grade: 12

Course 2: History
Classroom: 202
Teacher: Frej
Grade: 10

Course 3: English
Classroom: 401
Teacher: Njord
Grade: 7



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: PE
Classroom: 505
Teacher: Frig
Grade: 10

Course 2: PE
Classroom: 505
Teacher: Frej
Grade: -3

Course 3: English
Classroom: 101
Teacher: Njord
Grade: 7



Name of student: Tjasse
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: Physics
Classroom: 505
Teacher: Frig
Grade: -3

Course 2: English
Classroom: 101
Teacher: Freja
Grade: 7

Course 3: English
Classroom: 401
Teacher: Freja
Grade: 10



Name of student: Bubber
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: History
Classroom: 609
Teacher: Mimer
Grade: 12

Course 2: History
Classroom: 401
Teacher: Mimer
Grade: 10

Course 3: Physics
Classroom: 303
Teacher: Mimer
Grade: 2



Name of student: Mummi
Gender of student: m
Student image url: https://bit.ly/2V40lnS

Course 1: Danish
Classroom: 401
Teacher: Frig
Grade: -3

Course 2: German
Classroom: 401
Teacher: Freja
Grade: 7

Course 3: Danish
Classroom: 202
Teacher: Frej
Grade: 2



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: English
Classroom: 202
Teacher: Frej
Grade: 12

Course 2: German
Classroom: 609
Teacher: Njord
Grade: 10

Course 3: History
Classroom: 101
Teacher: Freja
Grade: 4



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: History
Classroom: 609
Teacher: Frig
Grade: None

Course 2: German
Classroom: 303
Teacher: Mimer
Grade: 4

Course 3: PE
Classroom: 505
Teacher: Frej
Grade: 10



Name of student: Asger
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: PE
Classroom: 101
Teacher: Freja
Grade: 7

Course 2: Physics
Classroom: 202
Teacher: Frej
Grade: -3

Course 3: Danish
Classroom: 401
Teacher: Frig
Grade: 7



Name of student: Bubber
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: German
Classroom: 609
Teacher: Mimer
Grade: None

Course 2: Danish
Classroom: 101
Teacher: Freja
Grade: None

Course 3: PE
Classroom: 401
Teacher: Frig
Grade: 12



Name of student: Tjasse
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: Physics
Classroom: 609
Teacher: Mimer
Grade: -3

Course 2: Physics
Classroom: 505
Teacher: Mimer
Grade: None

Course 3: PE
Classroom: 401
Teacher: Frej
Grade: 4



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: Physics
Classroom: 609
Teacher: Frej
Grade: 7

Course 2: Physics
Classroom: 101
Teacher: Frig
Grade: 10

Course 3: History
Classroom: 609
Teacher: Mimer
Grade: 2



Name of student: Saxa
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: German
Classroom: 303
Teacher: Frig
Grade: 10

Course 2: PE
Classroom: 101
Teacher: Njord
Grade: 4

Course 3: Danish
Classroom: 202
Teacher: Mimer
Grade: 4



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/2V40lnS

Course 1: Physics
Classroom: 202
Teacher: Frej
Grade: 7

Course 2: History
Classroom: 202
Teacher: Frej
Grade: None

Course 3: PE
Classroom: 609
Teacher: Mimer
Grade: 2



Name of student: Tjasse
Gender of student: m
Student image url: https://bit.ly/2V40lnS

Course 1: History
Classroom: 101
Teacher: Mimer
Grade: 7

Course 2: German
Classroom: 303
Teacher: Freja
Grade: 7

Course 3: German
Classroom: 202
Teacher: Njord
Grade: None



Name of student: Tjasse
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: PE
Classroom: 609
Teacher: Mimer
Grade: 10

Course 2: Danish
Classroom: 202
Teacher: Mimer
Grade: 10

Course 3: PE
Classroom: 202
Teacher: Mimer
Grade: None



Name of student: Bubber
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: History
Classroom: 505
Teacher: Njord
Grade: None

Course 2: German
Classroom: 101
Teacher: Frej
Grade: 2

Course 3: Danish
Classroom: 401
Teacher: Mimer
Grade: 2



Name of student: Mummi
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: History
Classroom: 303
Teacher: Frig
Grade: 12

Course 2: English
Classroom: 505
Teacher: Freja
Grade: 2

Course 3: History
Classroom: 101
Teacher: Mimer
Grade: 10



Name of student: Asger
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: History
Classroom: 101
Teacher: Freja
Grade: 2

Course 2: History
Classroom: 505
Teacher: Freja
Grade: None

Course 3: History
Classroom: 401
Teacher: Njord
Grade: -3



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: History
Classroom: 303
Teacher: Freja
Grade: 2

Course 2: English
Classroom: 202
Teacher: Frej
Grade: None

Course 3: PE
Classroom: 401
Teacher: Mimer
Grade: None



Name of student: Bubber
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: English
Classroom: 202
Teacher: Frig
Grade: 10

Course 2: PE
Classroom: 505
Teacher: Mimer
Grade: None

Course 3: Danish
Classroom: 609
Teacher: Frig
Grade: 4



Name of student: Odin
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: Physics
Classroom: 101
Teacher: Frej
Grade: 7

Course 2: Physics
Classroom: 303
Teacher: Njord
Grade: 10

Course 3: German
Classroom: 303
Teacher: Mimer
Grade: -3



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: English
Classroom: 505
Teacher: Mimer
Grade: 12

Course 2: English
Classroom: 202
Teacher: Frig
Grade: 2

Course 3: PE
Classroom: 505
Teacher: Freja
Grade: 2



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: PE
Classroom: 401
Teacher: Frig
Grade: None

Course 2: PE
Classroom: 505
Teacher: Frej
Grade: None

Course 3: History
Classroom: 303
Teacher: Frej
Grade: 4



Name of student: Tjasse
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: PE
Classroom: 609
Teacher: Mimer
Grade: None

Course 2: PE
Classroom: 202
Teacher: Freja
Grade: None

Course 3: English
Classroom: 101
Teacher: Frej
Grade: None



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: Physics
Classroom: 609
Teacher: Freja
Grade: -3

Course 2: History
Classroom: 609
Teacher: Frig
Grade: 7

Course 3: History
Classroom: 609
Teacher: Njord
Grade: 12



Name of student: Mummi
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: PE
Classroom: 303
Teacher: Freja
Grade: 2

Course 2: PE
Classroom: 303
Teacher: Njord
Grade: 7

Course 3: German
Classroom: 202
Teacher: Frig
Grade: 7



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: Danish
Classroom: 401
Teacher: Frej
Grade: 4

Course 2: English
Classroom: 505
Teacher: Frig
Grade: None

Course 3: PE
Classroom: 505
Teacher: Frig
Grade: 12



Name of student: Mummi
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: Danish
Classroom: 401
Teacher: Mimer
Grade: None

Course 2: English
Classroom: 609
Teacher: Freja
Grade: 10

Course 3: German
Classroom: 401
Teacher: Freja
Grade: 2



Name of student: Asger
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: English
Classroom: 401
Teacher: Frej
Grade: 12

Course 2: English
Classroom: 505
Teacher: Mimer
Grade: 12

Course 3: Danish
Classroom: 202
Teacher: Njord
Grade: 10



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: History
Classroom: 303
Teacher: Freja
Grade: None

Course 2: English
Classroom: 609
Teacher: Njord
Grade: -3

Course 3: PE
Classroom: 202
Teacher: Frej
Grade: None



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: German
Classroom: 505
Teacher: Frig
Grade: None

Course 2: Danish
Classroom: 101
Teacher: Njord
Grade: -3

Course 3: English
Classroom: 202
Teacher: Njord
Grade: 12



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: English
Classroom: 202
Teacher: Freja
Grade: -3

Course 2: History
Classroom: 101
Teacher: Njord
Grade: None

Course 3: Physics
Classroom: 202
Teacher: Freja
Grade: 10



Name of student: Bubber
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: English
Classroom: 202
Teacher: Freja
Grade: 12

Course 2: History
Classroom: 609
Teacher: Freja
Grade: 10

Course 3: PE
Classroom: 202
Teacher: Freja
Grade: None



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: PE
Classroom: 303
Teacher: Freja
Grade: 7

Course 2: Physics
Classroom: 609
Teacher: Njord
Grade: 2

Course 3: Danish
Classroom: 609
Teacher: Frej
Grade: 10



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/2V40lnS

Course 1: Danish
Classroom: 505
Teacher: Njord
Grade: None

Course 2: English
Classroom: 505
Teacher: Mimer
Grade: 7

Course 3: Danish
Classroom: 505
Teacher: Frej
Grade: -3



Name of student: Mummi
Gender of student: m
Student image url: https://bit.ly/2V40lnS

Course 1: English
Classroom: 505
Teacher: Frig
Grade: 7

Course 2: History
Classroom: 202
Teacher: Frej
Grade: None

Course 3: English
Classroom: 505
Teacher: Frej
Grade: 7



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: German
Classroom: 101
Teacher: Frig
Grade: 7

Course 2: Physics
Classroom: 101
Teacher: Frig
Grade: 7

Course 3: English
Classroom: 505
Teacher: Mimer
Grade: 7



Name of student: Odin
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: PE
Classroom: 202
Teacher: Njord
Grade: 10

Course 2: PE
Classroom: 609
Teacher: Frej
Grade: 7

Course 3: PE
Classroom: 505
Teacher: Frej
Grade: None



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: Danish
Classroom: 401
Teacher: Frej
Grade: 10

Course 2: History
Classroom: 609
Teacher: Frig
Grade: 7

Course 3: Danish
Classroom: 303
Teacher: Njord
Grade: 10



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: Physics
Classroom: 101
Teacher: Freja
Grade: None

Course 2: History
Classroom: 609
Teacher: Frej
Grade: None

Course 3: Physics
Classroom: 202
Teacher: Njord
Grade: None



Name of student: Saxa
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: History
Classroom: 101
Teacher: Njord
Grade: -3

Course 2: Danish
Classroom: 303
Teacher: Frej
Grade: None

Course 3: German
Classroom: 609
Teacher: Freja
Grade: 12



Name of student: Tjasse
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: PE
Classroom: 202
Teacher: Frig
Grade: 7

Course 2: PE
Classroom: 505
Teacher: Frej
Grade: 10

Course 3: History
Classroom: 101
Teacher: Frej
Grade: 12



Name of student: Tjasse
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: History
Classroom: 609
Teacher: Mimer
Grade: 7

Course 2: German
Classroom: 609
Teacher: Freja
Grade: 12

Course 3: German
Classroom: 101
Teacher: Mimer
Grade: 12



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: Danish
Classroom: 505
Teacher: Frig
Grade: -3

Course 2: German
Classroom: 202
Teacher: Mimer
Grade: 7

Course 3: German
Classroom: 202
Teacher: Frej
Grade: -3



Name of student: Odin
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: German
Classroom: 303
Teacher: Frig
Grade: 7

Course 2: Physics
Classroom: 609
Teacher: Njord
Grade: None

Course 3: German
Classroom: 303
Teacher: Mimer
Grade: -3



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: English
Classroom: 401
Teacher: Mimer
Grade: 10

Course 2: History
Classroom: 202
Teacher: Frej
Grade: 10

Course 3: History
Classroom: 609
Teacher: Njord
Grade: None



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/2V40lnS

Course 1: Danish
Classroom: 303
Teacher: Freja
Grade: -3

Course 2: Danish
Classroom: 609
Teacher: Freja
Grade: None

Course 3: English
Classroom: 101
Teacher: Mimer
Grade: -3



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: Danish
Classroom: 101
Teacher: Frej
Grade: 12

Course 2: Danish
Classroom: 505
Teacher: Frig
Grade: None

Course 3: English
Classroom: 202
Teacher: Njord
Grade: 10



Name of student: Asger
Gender of student: m
Student image url: https://bit.ly/2xRStOw

Course 1: English
Classroom: 609
Teacher: Frig
Grade: 10

Course 2: History
Classroom: 303
Teacher: Frej
Grade: None

Course 3: English
Classroom: 401
Teacher: Frej
Grade: 2



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: German
Classroom: 609
Teacher: Mimer
Grade: None

Course 2: Physics
Classroom: 101
Teacher: Freja
Grade: 2

Course 3: Physics
Classroom: 303
Teacher: Frig
Grade: 2



Name of student: Mummi
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: English
Classroom: 303
Teacher: Mimer
Grade: 7

Course 2: German
Classroom: 609
Teacher: Freja
Grade: -3

Course 3: English
Classroom: 303
Teacher: Mimer
Grade: -3



Name of student: Asger
Gender of student: m
Student image url: https://bit.ly/3dY9Cqj

Course 1: Danish
Classroom: 609
Teacher: Njord
Grade: 4

Course 2: German
Classroom: 202
Teacher: Njord
Grade: None

Course 3: German
Classroom: 401
Teacher: Frig
Grade: -3



Name of student: Odin
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: German
Classroom: 609
Teacher: Njord
Grade: 12

Course 2: PE
Classroom: 202
Teacher: Frig
Grade: 10

Course 3: English
Classroom: 401
Teacher: Mimer
Grade: 10



Name of student: Saxa
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: English
Classroom: 101
Teacher: Frig
Grade: -3

Course 2: History
Classroom: 401
Teacher: Freja
Grade: 2

Course 3: History
Classroom: 303
Teacher: Freja
Grade: -3



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: English
Classroom: 303
Teacher: Mimer
Grade: 12

Course 2: Physics
Classroom: 101
Teacher: Frig
Grade: 10

Course 3: Physics
Classroom: 101
Teacher: Frej
Grade: 2



Name of student: Saxa
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: Physics
Classroom: 401
Teacher: Frig
Grade: None

Course 2: English
Classroom: 101
Teacher: Njord
Grade: -3

Course 3: Danish
Classroom: 101
Teacher: Njord
Grade: 2



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2xRStOw

Course 1: German
Classroom: 505
Teacher: Mimer
Grade: 10

Course 2: English
Classroom: 101
Teacher: Frej
Grade: 12

Course 3: German
Classroom: 101
Teacher: Mimer
Grade: 7



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2V1kuuQ

Course 1: Danish
Classroom: 101
Teacher: Njord
Grade: 2

Course 2: History
Classroom: 303
Teacher: Mimer
Grade: 12

Course 3: Physics
Classroom: 101
Teacher: Frig
Grade: 4



Name of student: Saxa
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: German
Classroom: 303
Teacher: Freja
Grade: 12

Course 2: PE
Classroom: 609
Teacher: Freja
Grade: None

Course 3: German
Classroom: 101
Teacher: Njord
Grade: None



Name of student: Asger
Gender of student: f
Student image url: https://bit.ly/2V40lnS

Course 1: English
Classroom: 202
Teacher: Frej
Grade: None

Course 2: English
Classroom: 505
Teacher: Frej
Grade: 10

Course 3: German
Classroom: 202
Teacher: Frej
Grade: None



Name of student: Bubber
Gender of student: f
Student image url: https://bit.ly/3dY9Cqj

Course 1: Danish
Classroom: 202
Teacher: Mimer
Grade: 10

Course 2: Danish
Classroom: 101
Teacher: Freja
Grade: 12

Course 3: History
Classroom: 401
Teacher: Frej
Grade: -3



Name of student: Tjasse
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: Danish
Classroom: 401
Teacher: Njord
Grade: 7

Course 2: Danish
Classroom: 303
Teacher: Mimer
Grade: 7

Course 3: German
Classroom: 303
Teacher: Frej
Grade: None



Name of student: Asger
Gender of student: m
Student image url: https://bit.ly/2V1kuuQ

Course 1: PE
Classroom: 202
